Series Name,Series Code,Country Name,Country Code,2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Iraq,IRQ,34.14,33.329,31.562,29.816,28.304,27.664,27.252,26.84,26.448,26.004,25.728
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Ireland,IRL,14.9,14.4,13.9,13.4,12.8,12.5,11.9,11.1,11.8,10.4,10.3
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Isle of Man,IMN,10.418,10.113,9.769,9.436,9.193,8.995,8.826,8.683,8.54,8.437,8.34
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Israel,ISR,21.3,21.5,21.3,21.2,21.1,20.8,20.1,19.2,19.7,19,18.6
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Italy,ITA,8.5,8.3,8.1,7.9,7.6,7.3,7,6.8,6.8,6.7,6.4
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Jamaica,JAM,13.979,13.62,13.318,12.941,12.593,12.305,12.169,12.016,11.954,11.855,11.623
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Japan,JPN,8.2,8,8,7.8,7.6,7.4,7,6.8,6.6,6.3,6
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Jordan,JOR,24.926,24.324,23.653,23.748,23.217,22.677,22.236,21.726,21.309,20.922,20.611
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Kazakhstan,KAZ,22.646,23.017,22.513,22.34,21.435,21.702,21.424,22.57,23.271,20.819,20.138
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Kenya,KEN,32.427,31.542,30.908,30.202,29.602,29.037,28.226,27.782,27.611,27.342,27.106
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Kiribati,KIR,30.046,29.313,28.858,28.508,28.275,28.112,27.826,27.355,26.909,26.403,25.813
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,"Korea, Dem. People's Rep.",PRK,13.357,13.411,13.423,13.458,13.474,13.427,13.405,13.391,13.267,13.149,12.947
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,"Korea, Rep.",KOR,8.6,8.6,8.6,7.9,7,6.4,5.9,5.3,5.1,4.9,4.5
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Kosovo,XKX,16.453,15.797,14.723,13.172,12.962,12.736,12.618,12.335,12.546,12.275,12.067
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Kuwait,KWT,16.818,16.712,15.391,14.662,14.256,12.825,12.06,11.6919249210071,12.234184852521,10.8489565017698,10.3028486127809
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Kyrgyz Republic,KGZ,27.2,27.7,27.4,26,24.8,27.1,26.9,24,22.4,21.5,20.6
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Lao PDR,LAO,25.623,25.049,24.962,24.567,24.117,23.599,23.151,22.618,22.147,21.693,21.271
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Latvia,LVA,10.2,10.9,11.1,11.2,10.7,10,9.8,9.2,9.2,8.5,7.7
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Lebanon,LBN,18.016,18.812,19.555,19.197,18.648,18.09,17.622,16.912,16.573,16.372,16.144
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Lesotho,LSO,29.988,29.5,29.178,28.932,28.241,27.361,26.44,25.628,24.896,24.392,24.109
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Liberia,LBR,36.234,35.221,34.343,33.926,33.384,32.955,32.431,31.923,31.524,31.189,30.96
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Libya,LBY,22.54,22.623,21.921,21.252,20.511,19.844,19.241,18.737,18.176,17.537,17.024
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Liechtenstein,LIE,9.2,10,8.7,10,8.9,9.9,9.2,9.1,9.6,9.2,9.1
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Lithuania,LTU,9.7,10,10.3,10.3,9.8,9.5,8.9,8.4,8.3,7.8,7.2
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Luxembourg,LUX,11.3,10.9,10.7,10.4,10.4,10.3,10,10.2,10.5,9.9,9.5
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,"Macao SAR, China",MAC,11.1,11.8,11,11,10.1,9,8.9,8.1,7.4,6.4,5.5
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Madagascar,MDG,34.672,34.18,33.771,33.613,33.592,33.651,33.594,33.31,32.911,32.498,32.095
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Malawi,MWI,37.722,36.503,35.296,34.225,33.682,33.227,32.902,32.536,32.066,31.738,31.381
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Malaysia,MYS,16.761,16.724,16.336,15.789,15.329,14.808,14.233,13.393,12.385,12.394,12.412
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Maldives,MDV,18.803,17.76,16.664,15.512,14.342,13.395,12.597,12.112,11.694,11.396,11.018
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Mali,MLI,45.461,44.983,44.474,43.911,43.444,42.585,41.139,40.959,40.707,40.345,40.029
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Malta,MLT,9.5,9.6,9.7,9.8,9.2,9.2,8.6,8.6,8.5,8.1,8.1
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Marshall Islands,MHL,26.395,25.695,25.164,24.72,24.391,24.066,23.736,23.439,23.176,21.989,21.137
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Mauritania,MRT,38.509,38.127,37.778,37.402,37.046,36.621,36.211,35.735,35.342,34.844,34.423
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Mauritius,MUS,10.9,10.6,10.1,10.4,10.7,10.2,10.2,10.6,10.3,9.6,10.2
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Mexico,MEX,19.557,18.959,18.227,17.69,17.214,17.037,16.877,16.565,16.353,16.041,15.706
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,"Micronesia, Fed. Sts.",FSM,24.03,23.781,23.573,23.352,23.169,23.056,22.891,22.693,22.686,22.509,22.299
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Moldova,MDA,13.795,15.295,15.227,14.88,13.762,13.275,12.637,12.077,11.521,10.545,10.755
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Monaco,MCO,10.131,10.684,10.585,10.757,10.001,10.194,9.965,9.746,8.689,8.687,9.441
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Mongolia,MNG,27.5,28,27.1,25.9,23.9,24.5,24.4,23.4,21.6,19.5,19
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Montenegro,MNE,12,12.1,11.8,12.1,11.9,11.6,11.5,11.3,11.3,11.3,11.2
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Morocco,MAR,20.341,19.787,19.488,19.224,18.918,18.573,18.258,17.85,17.458,17.035,16.701
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Mozambique,MOZ,41.554,40.792,40.426,40.093,39.755,39.448,39.117,38.736,38.403,37.99,37.486
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Myanmar,MMR,18.684,18.551,18.608,18.561,18.341,18.054,17.774,17.456,17.201,16.912,16.696
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Namibia,NAM,31.177,31.011,30.668,30.31,29.652,29.067,28.386,27.687,27.022,26.343,25.89
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Nauru,NRU,35.342,34.687,34.223,33.578,32.241,30.66,29.581,28.662,27.787,26.613,25.505
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Nepal,NPL,22.458,22.39,22.141,21.943,21.572,21.122,20.648,20.168,19.675,19.643,19.34
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Netherlands,NLD,10.2,10.4,10.1,10.1,9.9,9.8,9.8,9.7,10.2,9.5,9.2
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,New Caledonia,NCL,16.442,16.031,15.735,15.672,15.327,15.228,15.183,14.903,14.747,14.498,14.262
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,New Zealand,NZL,13.2,12.67,13.23,12.6,12.38,11.84,11.96,11.32,11.48,11.49,10.86
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Nicaragua,NIC,23.203,22.836,22.449,22.06,21.647,21.209,20.808,20.45,20.044,19.695,19.376
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Niger,NER,47.796,47.2,46.577,45.881,45.057,44.181,43.366,42.6,41.932,41.95,41.892
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Nigeria,NGA,40.441,39.892,38.951,37.771,36.693,35.69,34.685,33.732,33.546,33.192,32.954
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,North Macedonia,MKD,11.2,11.4,11.1,11.0987266524808,10.5,10.3,9.6,9.2,10.2,9.9,9.2
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Northern Mariana Islands,MNP,22.776,21.455,19.791,18.374,17.324,16.559,16.029,15.487,14.824,13.807,12.918
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Norway,NOR,11.6,11.5,11.3,11.2,10.7,10.4,10.2,9.8,10.4,9.4,9.4
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Oman,OMN,20.947,21.166,20.992,20.544,20.155,19.269,18.858,18.856,18.337,16.353,16.847
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Pakistan,PAK,31.902,31.303,30.697,29.956,29.738,29.343,28.986,28.625,28.384,28.13,27.806
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Palau,PLW,14.024,13.362,12.582,12.741,12.437,12.004,11.921,11.624,11.377,11.115,10.897
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Panama,PAN,20.42,20.147,19.839,19.495,19.081,18.52,17.57,16.718,16.401,16.239,16.029
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Papua New Guinea,PNG,29.354,28.899,28.375,27.865,27.361,26.956,26.466,26.092,25.582,25.16,24.576
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Paraguay,PRY,22.474,22.635,22.662,22.487,22.166,21.836,21.421,21.036,20.689,20.356,19.985
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Peru,PER,18.82,18.366,17.948,17.565,17.254,16.93,16.853,16.61,16.398,16.183,15.944
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Philippines,PHL,24.56,23.404,22.933,21.76,20.571,19.418,18.104,17.017,16.108,16.057,16.019
